venue	method	path	use_case	data_kind	checked_at	doc_version	schema_hash	fixture_id	parser_test	request_builder_test	auth_kind
Binance	Get	/fapi/v1/positionSide/dual	PrivateRead	AccountConfig	2026-07-02	binance-usdm-futures-get-current-position-mode-2026-07-02	sha256:3b2d52fc2030034b04019a7cbb5f371fe8d89aa764c4a1de5e7e761dba0c5a7f	crates/exchange/fixtures/binance/usdm_position_side_dual.json	binance_position_mode_parses_official_fixture	exchange_account_mode_reads_official_position_side_dual_endpoint	signed
Binance	Get	/fapi/v1/commissionRate	PrivateRead	AccountConfig	2026-07-11	binance-usdm-futures-account-commission-rate-2026-07-11	sha256:28c1d83fde43698bca438bdb828eda321af35765923a6ea049863f0bc3cb518f	crates/exchange/fixtures/binance/usdm_account_commission_rate_btcusdt.json	parses_official_commission_fixture_without_zeroing_rates	commission_rate_signed_request_uses_official_path	signed
Gate	Get	/api/v4/futures/usdt/orders/{order_id}	PrivateRead	OrderStatus	2026-06-30	gate-apiv4-get-a-single-order-2026-06-30	sha256:10ea597b450b7e1d2e19c44021869c5df63f7b322dd969225232c685c2c62f69	crates/exchange/fixtures/gate/futures_usdt_get_order_filled.json	gate_get_order_parses_official_fixture	get_order_uses_official_order_detail_by_gate_text	signed
Gate	Delete	/api/v4/futures/usdt/orders/{order_id}	TradeWrite	OrderAck	2026-07-07	gate-apiv4-cancel-a-single-order-2026-07-07	not_recorded	not_recorded	not_recorded	safe_cancel_no_match_probe_uses_official_single_cancel_without_live_writes	signed
Gate	Get	/api/v4/futures/usdt/orders	PrivateRead	OrderStatus	2026-07-02	gate-apiv4-list-futures-orders-2026-07-02	sha256:b84fd51489451c265e0789b8d4416db9ac8a9f7d462b2ec2280f5c835b0e0707	crates/exchange/fixtures/gate/futures_usdt_orders_open.json	gate_open_orders_parses_official_fixture	open_orders_rejects_malformed_order_row	signed
Gate	Get	/api/v4/futures/usdt/accounts	PrivateRead	AccountBalance	2026-07-02	gate-apiv4-get-futures-account-2026-07-02	sha256:aae3ae7417405ed39b1c0aefef27736dd0d04be06c03959c0df7aeed99777fd2	crates/exchange/fixtures/gate/futures_usdt_account.json	gate_futures_account_balance_parses_official_fixture	crates/exchange/tests/gate_test.rs::balance_signed_headers	signed
Gate	Get	/api/v4/futures/usdt/account_book	PrivateRead	FundingPayment	2026-07-02	gate-apiv4-futures-account-book-funding-fee-2026-07-02	sha256:9992355eff36b23d899f67961e1d1c4b9e4edc648e1828063e83de2a11706801	crates/exchange/fixtures/gate/futures_usdt_account_book_fund_btc_usdt.json	gate_funding_payment_parses_official_account_book_fixture	gate_funding_payments_request_uses_account_book_fund_filter	signed
Kucoin	Post	/api/v1/orders	TradeWrite	OrderAck	2026-06-29	kucoin-futures-place-order-2026-06-29	sha256:28326340f23fda8ba48e0ab15bbdd23f32bfe5e4467b525e923bdeb3b3cdf090	crates/exchange/fixtures/kucoin/place_order_ack.json	kucoin_place_order_ack_parses_official_fixture	crates/exchange/src/adapters/kucoin_trade_data_tests.rs::limit_order_matches_official_body_shape	signed
Kucoin	Post	/api/v1/orders/test	TradeWrite	OrderAck	2026-07-07	kucoin-futures-add-order-test-2026-07-07	not_recorded	not_recorded	not_recorded	crates/exchange/src/adapters/kucoin_private_rest.rs::test_order_uses_official_non_matching_endpoint	signed
Kucoin	Delete	/api/v1/orders/client-order/{clientOid}	TradeWrite	OrderAck	2026-07-02	kucoin-futures-cancel-order-by-clientoid-2026-07-02	sha256:b239aa651f0d267fe9ee6de16ec0f77200763a86fb8a157bfc31351a9de7db5e	crates/exchange/fixtures/kucoin/cancel_order_by_client_oid_ack.json	kucoin_cancel_order_ack_parses_official_fixture	live_cancel_order_by_client_oid	signed
Kucoin	Delete	/api/v1/orders/{orderId}	TradeWrite	OrderAck	2026-07-11	kucoin-futures-cancel-order-by-order-id-2026-07-11	sha256:b239aa651f0d267fe9ee6de16ec0f77200763a86fb8a157bfc31351a9de7db5e	crates/exchange/fixtures/kucoin/cancel_order_by_client_oid_ack.json	kucoin_cancel_order_ack_parses_official_fixture	crates/exchange/src/adapters/kucoin_private_rest.rs::cancel_target_prefers_exchange_order_id_then_client_oid_fallback	signed
Gate	Post	/api/v4/futures/usdt/orders	TradeWrite	OrderAck	2026-06-30	gate-apiv4-create-futures-order-2026-06-30	sha256:e803326821f11c9e143477a1bbd2d1d65ccb86c07405dea79cd05cce75cb3f89	crates/exchange/fixtures/gate/futures_place_order_ack.json	gate_place_order_ack_parses_official_fixture	place_order_converts_base_qty_to_contracts	signed
Kucoin	Get	/api/v1/orders/byClientOid	PrivateRead	OrderStatus	2026-06-30	kucoin-futures-get-order-by-clientoid-2026-06-30	sha256:43f0847e8fa858abc15901801e2a811376d18f74b61c9dd4794cf378bd3ecf1a	crates/exchange/fixtures/kucoin/get_order_by_client_oid_open.json	kucoin_get_order_by_client_oid_parses_official_fixture	live_get_order_uses_official_by_client_oid_query	signed
Kucoin	Get	/api/v1/orders	PrivateRead	OrderStatus	2026-07-02	kucoin-futures-get-order-list-2026-07-02	sha256:e8a3c1e65c542c75b10b6881072b5547bc8bc3513f127fc8bbd98cfff5b3c679	crates/exchange/fixtures/kucoin/get_order_list_active.json	kucoin_open_orders_parses_official_fixture	live_open_orders_rejects_malformed_order_row	signed
Kucoin	Get	/api/v1/fills	PrivateRead	TradeFill	2026-07-11	kucoin-futures-get-trade-history-2026-07-11	sha256:0d9814f361e3636aaa92f17c525dbc75081a65f952cf8e888b9e45d8dd7ce985	crates/exchange/fixtures/kucoin/fills_by_order_id.json	kucoin_fills_parse_official_fixture_without_defaulting_fee	crates/exchange/src/adapters/kucoin_private_rest.rs::fills_read_uses_signed_order_query_and_official_fixture	signed
Kucoin	Get	/api/v1/trade-fees	PrivateRead	AccountFeeRate	2026-07-11	kucoin-futures-get-actual-fee-2026-07-11	sha256:118317e838e199c08f627b38c4ba95a1870ef5807379d5c4b21afef2f856047d	crates/exchange/fixtures/kucoin/futures_actual_fee_xbtusdtm.json	kucoin_fee_rate_parses_official_fixture_and_source_url	crates/exchange/src/adapters/kucoin_private_rest.rs::fee_rate_read_uses_signed_symbol_query_and_official_fixture	signed
Kucoin	Get	/api/v1/account-overview	PrivateRead	AccountBalance	2026-07-02	kucoin-futures-get-account-futures-2026-07-02	sha256:22eb8516645041f936a6881790de0e4b24bc5758a0c6ebcb14dceb729698f01d	crates/exchange/fixtures/kucoin/account_overview_usdt.json	kucoin_account_overview_parses_official_fixture	balance_signed_with_encrypted_passphrase	signed
Kucoin	Get	/api/v1/funding-history	PrivateRead	FundingPayment	2026-07-02	kucoin-futures-private-funding-history-2026-07-02	sha256:cab023fb504e9d1f630253d68527039865397ada77e840906ba6ad945a0edafe	crates/exchange/fixtures/kucoin/funding_history_xbtusdtm.json	kucoin_funding_payment_parses_official_history_fixture	kucoin_funding_payments_request_uses_futures_history_path	signed
Kucoin	Get	/api/v2/position/getPositionMode	PrivateRead	AccountConfig	2026-07-02	kucoin-futures-get-position-mode-2026-07-02	sha256:a78c28a8f3d69d3e11dede61335b864c4e45f19a574507ef20798f04efe2b02a	crates/exchange/fixtures/kucoin/position_mode_hedge.json	kucoin_position_mode_parses_official_fixture	account_mode_read_does_not_require_live_writes	signed
Hyperliquid	Post	/exchange	TradeWrite	OrderAck	2026-06-30	hyperliquid-exchange-order-action-2026-06-30	sha256:23d821d90ef17f9139028cfe0bc0f9247b992089b3022a9a10b6159608ed3cbf	crates/exchange/fixtures/hyperliquid/exchange_order_resting.json	hyperliquid_place_order_ack_parses_official_fixture	order_action_matches_hyperliquid_compact_schema	signed
Hyperliquid	Post	/info	PrivateRead	OrderStatus	2026-07-12	hyperliquid-info-open-orders-dex-2026-07-12	sha256:0bb032ff7d509fcdb288c596bcb1f2a186ad116b736a8d2badd8a8023c829273	crates/exchange/fixtures/hyperliquid/info_open_orders_dex.json	hyperliquid_operation_fixtures_parse_and_keep_dex_scope	hyperliquid_info_operation_request_contracts_are_distinct	user_address
Hyperliquid	Post	/info	PrivateRead	OrderStatus	2026-07-12	hyperliquid-info-frontend-open-orders-dex-2026-07-12	sha256:82f8ddebbfd3b17b9164e6709e487aefc1048341619f8d74a740fda82054db7d	crates/exchange/fixtures/hyperliquid/info_frontend_open_orders_dex.json	hyperliquid_operation_fixtures_parse_and_keep_dex_scope	hyperliquid_info_operation_request_contracts_are_distinct	user_address
Hyperliquid	Post	/info	PrivateRead	OrderStatus	2026-06-30	hyperliquid-info-order-status-2026-06-30	sha256:875f9a4b3f868c1936d4ee274e3183001a9200521c39dc9067034b1d07a6a19a	crates/exchange/fixtures/hyperliquid/info_order_status_filled.json	order_status_official_envelope_parses_filled_order	get_order_derives_public_client_id_to_official_cloid	user_address
Binance	Get	/fapi/v1/openOrders	PrivateRead	OrderStatus	2026-07-02	binance-usdm-futures-current-all-open-orders-2026-07-02	sha256:3e60dbbbcdd7950be4f1c2d61c5f5031b6344806bbd7cfa81ca1b244a2b1680b	crates/exchange/fixtures/binance/usdm_open_orders.json	binance_open_orders_parses_official_fixture	live_open_orders_queries_signed_current_open_orders	signed
Okx	Get	/api/v5/trade/orders-pending	PrivateRead	OrderStatus	2026-07-02	okx-v5-trade-get-order-list-2026-07-02	sha256:b3c992124a74c65a35d662bc64713dc412ed1b4c08592cdb4f5255424a6f9cbf	crates/exchange/fixtures/okx/trade_orders_pending.json	okx_open_orders_parses_official_fixture	live_open_orders_queries_orders_pending_with_signed_headers	signed
Hyperliquid	Post	/info	PrivateRead	AccountBalance	2026-07-02	hyperliquid-info-clearinghouse-and-spot-clearinghouse-state-2026-07-02	sha256:ad29e1740237966f26cf76d9eddc87224edcc4618d294ea46e706716192ee0f0	crates/exchange/fixtures/hyperliquid/info_clearinghouse_state_account_balance.json	hyperliquid_account_balance_parses_official_fixtures	hyperliquid_info_operation_request_contracts_are_distinct	user_address
Hyperliquid	Post	/info	PrivateRead	AccountBalance	2026-07-12	hyperliquid-info-spot-clearinghouse-state-2026-07-12	sha256:c55e0f86b418e05204bf91e0379c82f02fc9fc7c72aea89b54fc24fd86188d6d	crates/exchange/fixtures/hyperliquid/info_spot_clearinghouse_state_account_balance.json	hyperliquid_account_balance_parses_official_fixtures	hyperliquid_info_operation_request_contracts_are_distinct	user_address
Binance	Get	/fapi/v3/positionRisk	PrivateRead	AccountPosition	2026-07-30	binance-usdm-futures-position-information-v3-2026-07-30	sha256:bb7a83b3f7839bc2a6fb38413b6df9a17a31ebdb56e61216e2e1805c34d1c177	crates/exchange/fixtures/binance/usdm_position_risk_btcusdt.json	binance_positions_parse_official_fixture	live_positions_queries_signed_position_risk	signed
Okx	Get	/api/v5/account/positions	PrivateRead	AccountPosition	2026-07-02	okx-v5-trading-account-get-positions-2026-07-02	sha256:1e41e1e84e43736189c5614466e955494acae539e11dcc0fbafe33199b3ef03e	crates/exchange/fixtures/okx/account_positions_swap.json	okx_positions_parse_official_fixture	live_positions_queries_account_positions_with_signed_headers	signed
Bybit	Get	/v5/position/list	PrivateRead	AccountPosition	2026-07-02	bybit-v5-get-position-info-account-position-2026-07-02	sha256:1d9b41c78476221951fae10cb30559e9e5e2d848d6b64bb1999c4580a9c35b1e	crates/exchange/fixtures/bybit/position_list_linear_open.json	bybit_positions_parse_official_fixture	private_account_reads_fan_out_usdt_and_usdc_settles	signed
Bitget	Get	/api/v3/position/current-position	PrivateRead	AccountPosition	2026-07-02	bitget-uta-trade-get-current-position-2026-07-02	sha256:22ead2a4c3fe6a979be913b9db5e75bedb8a9e6c8170b9c437d30b0d5731f0fb	crates/exchange/fixtures/bitget/uta_current_position_btcusdt.json	bitget_current_position_parses_official_fixture	live_positions_queries_current_position_with_signed_headers	signed
Bitget	Get	/api/v3/account/financial-records	PrivateRead	FundingPayment	2026-07-02	bitget-uta-financial-records-funding-fee-2026-07-02	sha256:3c89aa83d14642364cda661dfd098689e2941034cfa85ea270a85729fc4ae8c0	crates/exchange/fixtures/bitget/uta_financial_records_funding_fee_btcusdt.json	bitget_uta_funding_payment_parses_official_financial_records_fixture	bitget_uta_funding_payments_request_uses_financial_records_type_filter	signed
Gate	Get	/api/v4/futures/usdt/positions	PrivateRead	AccountPosition	2026-07-02	gate-apiv4-list-futures-positions-2026-07-02	sha256:8570896ffc84c2af96e35e62f4311f70f8876504aa8c6a52be3c13e8589e06cd	crates/exchange/fixtures/gate/futures_usdt_positions.json	gate_positions_parse_official_fixture	positions_signed_size_to_long_short	signed
Kucoin	Get	/api/v1/positions	PrivateRead	AccountPosition	2026-07-02	kucoin-futures-get-position-list-2026-07-02	sha256:2f64271367f6b18fe62f98cb3c6ce0e001c49420fd60912dbe88dcb2b35cb767	crates/exchange/fixtures/kucoin/positions_open.json	kucoin_positions_parse_official_fixture	positions_filter_open_and_signed_qty	signed
Hyperliquid	Post	/info	PrivateRead	AccountPosition	2026-07-02	hyperliquid-info-clearinghouse-state-account-position-2026-07-02	sha256:ad29e1740237966f26cf76d9eddc87224edcc4618d294ea46e706716192ee0f0	crates/exchange/fixtures/hyperliquid/info_clearinghouse_state_account_balance.json	hyperliquid_account_position_parses_official_fixture	hyperliquid_info_operation_request_contracts_are_distinct	user_address
gate_crossex	Get	/api/v4/crossex/market/funding_info	Baseline	FundingRate	2026-08-06	gate-crossex-v1.0.1-funding-info-2026-08-06	sha256:3341339b9d8ea8df5996a51656dd90c1efbd53f7c03539d66c8f6e083ef91490	crates/exchange/fixtures/gate_crossex/funding_info_intervals.json	funding_metadata_keeps_native_event_intervals	signed_private_reads_bind_canonical_crossex_paths_and_queries	signed
gate_crossex	Get	/api/v4/crossex/accounts	PrivateRead	AccountBalance	2026-08-06	gate-crossex-v1.0.1-account-assets-2026-08-06	sha256:2af431f2c94d5de41ef04da4e15162d9a58ad60680af083f51db1ce3da270252	crates/exchange/fixtures/gate_crossex/account.json	parses_bounded_rest_bootstrap_rows	signed_private_reads_bind_canonical_crossex_paths_and_queries	signed
gate_crossex	Get	/api/v4/crossex/accounts	PrivateRead	AccountConfig	2026-08-06	gate-crossex-v1.0.1-account-assets-2026-08-06	sha256:2af431f2c94d5de41ef04da4e15162d9a58ad60680af083f51db1ce3da270252	crates/exchange/fixtures/gate_crossex/account.json	parses_bounded_rest_bootstrap_rows	signed_private_reads_bind_canonical_crossex_paths_and_queries	signed
gate_crossex	Get	/api/v4/crossex/open_orders	PrivateRead	OrderStatus	2026-08-06	gate-crossex-v1.0.1-open-orders-2026-08-06	sha256:d5982036259dce34d2879404f2bfacc8481741e221e334b77b65ce210ded9b2c	crates/exchange/fixtures/gate_crossex/open_orders.json	parses_bounded_rest_bootstrap_rows	signed_private_reads_bind_canonical_crossex_paths_and_queries	signed
gate_crossex	Get	/api/v4/crossex/orders/{order_id}	PrivateRead	OrderStatus	2026-08-06	gate-crossex-v1.0.1-order-details-2026-08-06	sha256:cfae949acb63f815882f8e29973f9ae15a351ab282cf5c545f3863d14bf4c567	crates/exchange/fixtures/gate_crossex/order_detail.json	parses_bounded_rest_bootstrap_rows	signed_private_reads_bind_canonical_crossex_paths_and_queries	signed
gate_crossex	Get	/api/v4/crossex/positions	PrivateRead	AccountPosition	2026-08-06	gate-crossex-v1.0.1-contract-positions-2026-08-06	sha256:fcfa6c34f193e4adfcd5a46ae72d86cebfca9c5345a6f56fec30c091341e2532	crates/exchange/fixtures/gate_crossex/positions.json	parses_bounded_rest_bootstrap_rows	signed_private_reads_bind_canonical_crossex_paths_and_queries	signed
Kraken	Post	/0/private/GetWebSocketsToken	PrivateRead	AccountConfig	2026-08-06	kraken-spot-rest-get-websockets-token-2026-08-06	sha256:de1a048ae3fb97d52533e7a1a4e7f585c9fd4f03b12a0f7b568668e2d3f88746	crates/exchange/fixtures/kraken/spot_ws_token.json	official_token_fixture_and_private_read_requests_match_spot_contracts	official_token_fixture_and_private_read_requests_match_spot_contracts	signed
Kraken	Post	/0/private/BalanceEx	PrivateRead	AccountBalance	2026-08-06	kraken-spot-rest-extended-balance-2026-08-06	sha256:9c973150d855fb824fa13fe58e77c2c2e7dc7c41ea7349b57a22c42133994525	crates/exchange/fixtures/kraken/spot_balance_ex.json	balance_ex_uses_official_available_formula	signed_request_uses_official_headers_and_body_contract	signed
Kraken	Post	/0/private/OpenOrders	PrivateRead	OrderStatus	2026-08-06	kraken-spot-rest-open-orders-2026-08-06	sha256:1e6ca36c5632885892b04f44bf7bced54a29e6831b4e9274ea1f0f4fbaa1a5d1	crates/exchange/fixtures/kraken/spot_open_orders.json	rest_order_fixtures_keep_open_and_terminal_state	official_token_fixture_and_private_read_requests_match_spot_contracts	signed
Kraken	Post	/0/private/QueryOrders	PrivateRead	OrderStatus	2026-08-06	kraken-spot-rest-query-orders-2026-08-06	sha256:2de01b2037908770cc948630aec4c44d2052217860fc3913309dad3b064a3afb	crates/exchange/fixtures/kraken/spot_query_orders.json	rest_order_fixtures_keep_open_and_terminal_state	official_token_fixture_and_private_read_requests_match_spot_contracts	signed
Kraken	Post	/derivatives/api/v3/sendorder	TradeWrite	OrderAck	2026-08-06	kraken-derivatives-rest-send-order-2026-08-06	sha256:e3121498a6423ec9ee3c7519b156c4d98b0866f7202d7b5fcfccaceac4fb1169	crates/exchange/fixtures/kraken/futures_send_order_ack.json	parses_official_trade_write_and_order_status_responses	signed_write_requests_bind_paths_headers_and_payloads	signed
Kraken	Post	/derivatives/api/v3/cancelorder	TradeWrite	OrderAck	2026-08-06	kraken-derivatives-rest-cancel-order-2026-08-06	sha256:55676659980435fcd1ba33f392cb0e55360f97d578c6bab55af75de0265cbae0	crates/exchange/fixtures/kraken/futures_cancel_order_ack.json	parses_official_trade_write_and_order_status_responses	signed_write_requests_bind_paths_headers_and_payloads	signed
Kraken	Get	/derivatives/api/v3/openorders	PrivateRead	OrderStatus	2026-08-06	kraken-derivatives-rest-open-orders-2026-08-06	sha256:df8cb6a43089b3340b16206f916e902321d98fdbc9ad1465736f9ac6104f9101	crates/exchange/fixtures/kraken/futures_rest_open_orders.json	parses_official_rest_accounts_and_open_rows	signed_read_requests_bind_official_paths	signed
Kraken	Post	/derivatives/api/v3/orders/status	PrivateRead	OrderStatus	2026-08-06	kraken-derivatives-rest-specific-order-status-2026-08-06	sha256:03519461734113877bed17606e416daa9d06870c45237751efdf184d89b1ccca	crates/exchange/fixtures/kraken/futures_order_status.json	parses_official_trade_write_and_order_status_responses	signed_write_requests_bind_paths_headers_and_payloads	signed
Kraken	Get	/derivatives/api/v3/accounts	PrivateRead	AccountBalance	2026-08-06	kraken-derivatives-rest-wallets-2026-08-06	sha256:696f464b0811801595f00ca90504c9c5f5d5e020996aa8635f901f1e9bad5b41	crates/exchange/fixtures/kraken/futures_accounts.json	parses_official_rest_accounts_and_open_rows	signed_read_requests_bind_official_paths	signed
Kraken	Get	/derivatives/api/v3/openpositions	PrivateRead	AccountPosition	2026-08-06	kraken-derivatives-rest-open-positions-2026-08-06	sha256:db1ca5b97c34cfa624615985348151cc98178159595297797ad4c9e9d3bc13e1	crates/exchange/fixtures/kraken/futures_rest_open_positions.json	parses_official_rest_accounts_and_open_rows	signed_read_requests_bind_official_paths	signed
